,id,description,preproc_description
0,1,"Active classic boxers - There's a reason why our boxers are a cult favorite - they keep their cool, especially in sticky situations. The quick-drying, lightweight underwear takes up minimal space in a travel pack. An exposed, brushed waistband offers next-to-skin softness, five-panel construction with a traditional boxer back for a classic fit, and a functional fly. Made of 3.7-oz 100% recycled polyester with moisture-wicking performance. Inseam (size M) is 4 1/2"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Silky Capilene 1 fabric is ultralight, breathable and quick-to-dry""</li> <li>""Exposed, brushed elastic waistband for comfort""</li> <li>5-panel construction with traditional boxer back</li> <li>""Inseam (size M) is 4 1/2""""""</li></ul><br><br><b>Fabric: </b>3.7-oz 100% all-recycled polyester with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>99 g (3.5 oz)<br><br>Made in Mexico.",active classic boxer 's reason boxer cult favorite keep cool especially sticky situation quick-drying lightweight underwear take minimal space travel pack exposed brushed waistband offer next-to-skin softness five-panel construction traditional boxer back classic fit functional fly made .-oz recycled polyester moisture-wicking performance inseam size '' recyclable common thread recycling program.details `` silky capilene fabric ultralight breathable quick-to-dry '' `` exposed brushed elastic waistband comfort '' -panel construction traditional boxer back `` inseam size '' '' '' fabric .-oz all-recycled polyester gladiodor natural odor control garment recyclable common thread recycling programweight g oz made mexico
1,2,"Active sport boxer briefs - Skinning up Glory requires enough movement without your boxers deciding to poach their own route. The form-fitting Active Sport Boxer Briefs are made from breathable 93% polyester (71% recycled) fabric that's fast-wicking, dries quickly and has 7% spandex for stretch; the seamless waistband and soft leg edges won't roll or bind. The gusseted, flat-sewn 6"" inseam (size M) is offset to prevent inner-thigh chafe. Fly-free with a smooth front panel. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently, dries fast""</li> <li>Seamless construction</li> <li>""Flat-sewn, gusseted inseam is set forward to prevent inner-thigh chafe""</li> <li>Fly-free support</li> <li>""Inseam (size M) is 6""""""</li></ul><br><br><b>Fabric: </b>""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(60 g 2.1 oz)<br><br>Made in Israel.",active sport boxer brief skinning glory requires enough movement without boxer deciding poach route form-fitting active sport boxer brief made breathable polyester recycled fabric 's fast-wicking dry quickly spandex stretch seamless waistband soft leg edge wo n't roll bind gusseted flat-sewn `` inseam size offset prevent inner-thigh chafe fly-free smooth front panel recyclable common thread recycling program.details `` stretch mesh provides support open-weave mesh airflow wick efficiently dry fast '' seamless construction `` flat-sewn gusseted inseam set forward prevent inner-thigh chafe '' fly-free support `` inseam size `` '' '' fabric `` .-oz polyester recycled spandex moisture-wicking performance recyclable common thread recycling program '' weight g oz made israel
2,3,"Active sport briefs - These superbreathable no-fly briefs are the minimalist's choice for high-octane endeavors. Made from a blend of fast-wicking, quick-drying 93% polyester (71% recycled) and 7% spandex that has both stretch-mesh (for support) and open mesh (for cooling airflow). Soft edging at the leg openings and a seamless waist won't roll or create friction against layers. With a smooth front panel for opacity. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Stretch mesh provides support, open-weave mesh for airflow, wicks efficiently and dries fast""</li> <li>Seamless construction</li> <li>Leg openings have half-inch self-binding for comfort</li> <li>Fly-free support</li></ul><br><br><b>Fabric: </b>""4.6-oz 93% polyester (71% recycled)/7% spandex, with moisture-wicking performance. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in Israel.",active sport brief superbreathable no-fly brief minimalist 's choice high-octane endeavor made blend fast-wicking quick-drying polyester recycled spandex stretch-mesh support open mesh cooling airflow soft edging leg opening seamless waist wo n't roll create friction layer smooth front panel opacity recyclable common thread recycling program.details `` stretch mesh provides support open-weave mesh airflow wick efficiently dry fast '' seamless construction leg opening half-inch self-binding comfort fly-free supportfabric `` .-oz polyester recycled spandex moisture-wicking performance recyclable common thread recycling program '' weight g oz made israel
3,4,"Alpine guide pants - Skin in, climb ice, switch to rock, traverse a knife-edge ridge and boogie back down - these durable, weather-resistant and breathable soft-shell pants keep stride on every mountain endeavor. The midweight stretch-woven polyester won't restrict your moves, and the brushed interior maintains next-to-skin comfort. A 2-way zippered fly keeps things easy with a harness on, and the gusseted, zippered cuffs have 2-position snaps and tie-down loops. With water-resistant zippered pockets: two front, two thigh, one back hip. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Durable stretch-woven polyester (47% recycled) with DWR (durable water repellent) finish is water- and wind-resistant and highly breathable</li> <li>Brushed interior for next-to-skin comfort</li> <li>Waistband has belt loops and elastic on back</li> <li>2-way zippered fly</li> <li>""External pockets: two front slash, two glued-on thigh, one back hip - all with highly water-resistant, DWR-finished zippers""</li> <li>""Gusseted, zippered cuff with 2-position adjustable settings and tie-down loops""</li></ul><br><br><b>Fabric: </b>""7.6-oz 90-denier 92% polyester (47% recycled)/8% spandex, with Deluge DWR finish. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(597 g 20.7 oz)<br><br>Made in Vietnam.",alpine guide pant skin climb ice switch rock traverse knife-edge ridge boogie back durable weather-resistant breathable soft-shell pant keep stride every mountain endeavor midweight stretch-woven polyester wo n't restrict move brushed interior maintains next-to-skin comfort -way zippered fly keep thing easy harness gusseted zippered cuff -position snap tie-down loop water-resistant zippered pocket two front two thigh one back hip recyclable common thread recycling program.details durable stretch-woven polyester recycled dwr durable water repellent finish water- wind-resistant highly breathable brushed interior next-to-skin comfort waistband belt loop elastic back -way zippered fly `` external pocket two front slash two glued-on thigh one back hip highly water-resistant dwr-finished zipper '' `` gusseted zippered cuff -position adjustable setting tie-down loop '' fabric `` .-oz -denier polyester recycled spandex deluge dwr finish recyclable common thread recycling program '' weight g oz made vietnam
4,5,"Alpine wind jkt - On high ridges, steep ice and anything alpine, this jacket serves as a true ""best of all worlds"" staple. It excels as a stand-alone shell for blustery rock climbs, cool-weather trail runs and high-output ski tours. And then, when conditions have you ice and alpine climbing, it functions as a lightly insulated windshirt on the approach, as well as a frictionless midlayer when it's time to bundle up and tie-in. The polyester ripstop shell with a Deluge DWR (durable water repellent) treatment sheds snow and blocks wind, while the smooth, lightly brushed hanging mesh liner wicks moisture, dries fast, and doesn't bind to your baselayers. Superlight stretch-woven underarm panels enhance breathability and allow for unimpaired arm motion, and the two hand pockets close with zippers. A drawcord hem, elastic cuffs, a heat-transfer reflective logo and a regular-coil, center-front zipper with DWR finish round out the features. Updated this season for an improved fit. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Lightweight, breathable polyester ripstop fabric with Deluge DWR (durable water repellent) finish; Slightly brushed polyester-mesh liner wicks moisture and dries fast""</li> <li>""Stretch-woven underarm panels provide breathability, stretch for unimpeded range of motion""</li> <li>DWR finish on center-front zipper</li> <li>Elastic cuffs</li> <li>""Pockets: exterior chest, zippered handwarmers""</li> <li>Drawcord hem</li> <li>Reflective heat-transfer logo</li></ul><br><br><b>Fabric: </b>Shell: 1.3-oz 20-denier 100% polyester ripstop. Panels: 4.6-oz 75-denier 90% all-recycled polyester/10% spandex. Shell and panels have Deluge DWR (durable water repellent) finish. Lining: 100% polyester brushed tricot mesh. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(331 g 11.5 oz)<br><br>Made in China.",alpine wind jkt high ridge steep ice anything alpine jacket serf true `` best world '' staple excels stand-alone shell blustery rock climb cool-weather trail run high-output ski tour condition ice alpine climbing function lightly insulated windshirt approach well frictionless midlayer 's time bundle tie-in polyester ripstop shell deluge dwr durable water repellent treatment shed snow block wind smooth lightly brushed hanging mesh liner wick moisture dry fast n't bind baselayers superlight stretch-woven underarm panel enhance breathability allow unimpaired arm motion two hand pocket close zipper drawcord hem elastic cuff heat-transfer reflective logo regular-coil center-front zipper dwr finish round feature updated season improved fit recyclable common thread recycling program.details `` lightweight breathable polyester ripstop fabric deluge dwr durable water repellent finish slightly brushed polyester-mesh liner wick moisture dry fast '' `` stretch-woven underarm panel provide breathability stretch unimpeded range motion '' dwr finish center-front zipper elastic cuff `` pocket exterior chest zippered handwarmers '' drawcord hem reflective heat-transfer logofabric shell .-oz -denier polyester ripstop panel .-oz -denier all-recycled polyester/ spandex shell panel deluge dwr durable water repellent finish lining polyester brushed tricot mesh recyclable common thread recycling programweight g oz made china
5,6,"Ascensionist jkt - Our most technical soft shell for full-on mountain pursuits strikes the alpinist's balance between protection and minimalism. The dense 2-way-stretch polyester double weave, with stitchless seams, has exceptional water- and wind-resistance, a rapid dry time and superb breathability. Pared-down detailing provides everything you need and nothing more: a 3-way-adjustable, helmet-compatible hood; a reverse-coil center-front zipper with a DWR (durable water repellent) finish; large external handwarmer pockets (with zipper garages) that are placed above the harness-line; an internal security pocket; articulated arms; self-fabic cuff tabs; a drawcord hem. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Dense stretchy polyester double-weave fabric is exceptionally water- and wind-resistant and is spandex-free for fast dry times; Stitch-free, lap-glued seams speed dry time, improve water resistance and decrease bulk""</li> <li>""Helmet-compatible, 3-way-adjustable hood;  brushed chamois patches for chin and neck comfort""</li> <li>DWR-(durable water repellent) finished center-front zipper; external pockets: two handwarmers fit skins and have zipper garages and DWR finish on zippers</li> <li>Internal security pocket</li> <li>Articulated arms</li> <li>""Low-profile, laminated, self-fabric cuff tabs""</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>5.3-oz 100% polyester (45% recycled) double weave with 2-way-stretch and Deluge DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(553 g 19.2 oz)<br><br>Made in China.",ascensionist jkt technical soft shell full-on mountain pursuit strike alpinist 's balance protection minimalism dense -way-stretch polyester double weave stitchless seam exceptional water- wind-resistance rapid dry time superb breathability pared-down detailing provides everything need nothing -way-adjustable helmet-compatible hood reverse-coil center-front zipper dwr durable water repellent finish large external handwarmer pocket zipper garage placed harness-line internal security pocket articulated arm self-fabic cuff tab drawcord hem recyclable common thread recycling program.details `` dense stretchy polyester double-weave fabric exceptionally water- wind-resistant spandex-free fast dry time stitch-free lap-glued seam speed dry time improve water resistance decrease bulk '' `` helmet-compatible -way-adjustable hood brushed chamois patch chin neck comfort '' dwr- durable water repellent finished center-front zipper external pocket two handwarmers fit skin zipper garage dwr finish zipper internal security pocket articulated arm `` low-profile laminated self-fabric cuff tab '' drawcord hemfabric .-oz polyester recycled double weave -way-stretch deluge dwr finish recyclable common thread recycling programweight g oz made china
6,7,"Atom - A multitasker's cloud nine, the Atom plays the part of courier bag, daypack and carry-on. Its teardrop shape provides the support of a daypack by positioning the load behind your shoulder, and the single-strap design makes getting to the goods simple - just spin it around front. The large zippered main pocket has internal zippered mesh and stretch-woven pockets. A convenient zippered pocket on the shoulder strap is lined to protect valuables. Breathable, moisture-moving 3-D spacer mesh pads the shoulder strap and back panel. Made from 150-denier double-weave all-recycled polyester with a polyurethane coating and DWR (durable water repellent) finish.<br><br><b>Details:</b><ul> <li>Atom spins around from back to chest for easy access</li> <li>Main zippered pocket has internal zippered mesh and stretch-woven organizer pockets</li> <li>Small zippered pocket for essentials</li> <li>""Zippered pocket on shoulder strap is lined to protect cell phone, sunglasses, etc""</li> <li>""Teardrop shape positions weight behind the shoulder, easing stress on neck and back""</li> <li>""3-D spacer-mesh on the shoulder strap and back panel wicks moisture, dries quickly and allows air circulation""</li> <li>Waistbelt secures pack to torso</li></ul><br><br><b>Fabric: </b>7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder strap: 100% polyester 3-D spacer mesh<br><br><b>Weight: </b>(311 g 10.8 oz)<br><br>Made in Vietnam.",atom multitasker 's cloud nine atom play part courier bag daypack carry-on teardrop shape provides support daypack positioning load behind shoulder single-strap design make getting good simple spin around front large zippered main pocket internal zippered mesh stretch-woven pocket convenient zippered pocket shoulder strap lined protect valuable breathable moisture-moving -d spacer mesh pad shoulder strap back panel made -denier double-weave all-recycled polyester polyurethane coating dwr durable water repellent finish.details atom spin around back chest easy access main zippered pocket internal zippered mesh stretch-woven organizer pocket small zippered pocket essential `` zippered pocket shoulder strap lined protect cell phone sunglass etc '' `` teardrop shape position weight behind shoulder easing stress neck back '' `` -d spacer-mesh shoulder strap back panel wick moisture dry quickly allows air circulation '' waistbelt secures pack torsofabric .-oz -denier all-recycled polyester double weave lining .-oz -denier polyester polyurethane coating dwr durable water repellent finish shoulder strap polyester -d spacer meshweight g oz made vietnam
7,8,"Print banded betina btm - Our fullest coverage bottoms, the Betina fits highest across the hips with a slightly scooped, lined front. Made from a blend of 82% nylon/18% spandex.<br><br><b>Details:</b><ul> <li>Fullest coverage bottom</li> <li>""Fits highest across hips, full front and back coverage""</li> <li>Regular rise</li> <li>Improved fabric</li></ul><br><br><b>Fabric: </b>5.6-oz 82% nylon/18% spandex<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in USA.",print banded betina btm fullest coverage bottom betina fit highest across hip slightly scooped lined front made blend nylon/ spandex.details fullest coverage bottom `` fit highest across hip full front back coverage '' regular rise improved fabricfabric .-oz nylon/ spandexweight g oz made usa
8,9,"Baby micro d-luxe cardigan - Micro D-Luxe is a heavenly soft fabric with down-to-earth applications. This cardigan is made from a quick-drying, durable 4.6-oz 100% polyester (87% recycled) microdenier fleece that is lightweight and breathable so it can work as a top or midlayer. A wind flap backs the zip front, while the hood has covered-elastic side trim to bundle babies in deep warmth. With slash-style patch pockets, color-coordinating elbow patches and soft self-fabric cuffs. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft, microdenier fleece made from 87% recycled polyester is durable and quick-to-dry""</li> <li>Hood stays secure with covered side elastic</li> <li>Inside neck tape for a clean finish</li> <li>Handwarmer patch pockets</li> <li>""Full front zip backed by a wind flap; soft, self-fabric cuffs""</li></ul><br><br><b>Fabric: </b>4.6-oz 100% microdenier polyester (87% recycled) fleece. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(121 g 4.2 oz)<br><br>Made in Costa Rica.",baby micro d-luxe cardigan micro d-luxe heavenly soft fabric down-to-earth application cardigan made quick-drying durable .-oz polyester recycled microdenier fleece lightweight breathable work top midlayer wind flap back zip front hood covered-elastic side trim bundle baby deep warmth slash-style patch pocket color-coordinating elbow patch soft self-fabric cuff recyclable common thread recycling program.details `` soft microdenier fleece made recycled polyester durable quick-to-dry '' hood stay secure covered side elastic inside neck tape clean finish handwarmer patch pocket `` full front zip backed wind flap soft self-fabric cuff '' fabric .-oz microdenier polyester recycled fleece recyclable common thread recycling programweight g oz made costa rica
9,10,"Baby sun bucket hat - This hat goes on when the sun rises above the horizon, and stays on when raindrops start falling. Its made from an ultra-durable 4-ply, 4.2-oz Supplex nylon fabric with a DWR (durable water repellent) finish, and reverses to either a contrasting solid color or print. A soft tuck-away chin strap with a hook-and-loop fastener holds securely without chafing young jawlines. Packs small; easy care.<br><br><b>Details:</b><ul> <li>""Lightweight Supplex nylon is soft, dries fast and packs small; easy care""</li> <li>Brim shields head and neck</li> <li>Chin strap with hook-and-loop fastener can be tucked away when not in use</li> <li>Reversible style with fun print/solid combinations</li> <li>One colorway has print on both sides</li></ul><br><br><b>Fabric: </b>""4-ply, 4.2-oz Supplex nylon with a DWR (durable water repellent) finish""<br><br><b>Weight: </b>(49 g 1.7 oz)<br><br>Made in China.",baby sun bucket hat hat go sun rise horizon stay raindrop start falling made ultra-durable -ply .-oz supplex nylon fabric dwr durable water repellent finish revers either contrasting solid color print soft tuck-away chin strap hook-and-loop fastener hold securely without chafing young jawlines pack small easy care.details `` lightweight supplex nylon soft dry fast pack small easy care '' brim shield head neck chin strap hook-and-loop fastener tucked away use reversible style fun print/solid combination one colorway print sidesfabric `` -ply .-oz supplex nylon dwr durable water repellent finish '' weight g oz made china
